tid;k1;k2;k3;k4;k5;k6;k7;k8;k9;k10;AVG;;compressed;k1;k2;k3;k4;k5;k6;k7;k8;k9;k10;AVG;;;;;;;;;;;;;
2011-01-01 00:00:00;1,716;2,204;1,414;2,05;2,449;1,983;2,309;1,875;3,082;1,916;2,0998;;2011-01-01;1,716;2,204;1,414;2,05;2,449;1,983;2,309;1,875;3,082;1,916;2,0998;;;;;;;;;;;;;
2011-01-01 01:00:00;1,46;2,05;1,655;1,693;2,484;1,799;2,138;1,864;3,001;1,727;1,9871;;2011-01-02;1,498;2,14;1,591;1,755;2,429;1,518;1,886;1,67;3,182;1,47;1,9139;;;;;;;;;;;;;
2011-01-01 02:00:00;1,688;1,676;1,639;1,683;2,445;1,958;1,937;1,902;2,805;1,885;1,9618;;2011-01-03;1,528;2,372;1,49;1,877;2,615;2,052;1,725;1,789;2,435;1,603;1,9486;;;;;;;;;;;;;
2011-01-01 03:00:00;1,431;2,121;1,698;1,738;2,455;1,677;2,139;1,738;2,952;1,581;1,953;;2011-01-04;1,403;2,335;1,488;1,871;2,071;1,924;1,599;1,99;2,44;1,599;1,872;;;;;;;;;;;;;
2011-01-01 04:00:00;1,608;1,904;1,561;1,831;2,385;2,068;2,073;1,82;2,926;1,72;1,9896;;2011-01-05;1,439;2,11;1,736;1,869;2,331;1,658;1,742;1,736;2,796;1,682;1,9099;;;;;;;;;;;;;
2011-01-01 05:00:00;1,447;2,039;1,588;1,801;2,34;1,709;2,14;1,752;2,837;1,613;1,9266;;2011-01-06;1,643;2,291;1,546;1,801;2,057;2,019;1,929;1,885;2,745;1,873;1,9789;;;;;;;;;;;;;
2011-01-01 06:00:00;1,549;1,878;1,526;1,844;2,414;1,839;2,027;1,944;2,638;1,654;1,9313;;2011-01-07;1,463;1,995;1,408;1,718;1,602;1,676;1,668;1,97;2,314;1,45;1,7264;;;;;;;;;;;;;
2011-01-01 07:00:00;1,562;1,971;1,588;1,853;2,397;1,645;2,413;2,198;2,723;1,771;2,0121;;2011-01-08;1,35;2,292;1,553;1,645;1,674;1,78;1,671;1,946;2,233;1,511;1,7655;;;;;;;;;;;;;
2011-01-01 08:00:00;1,829;1,882;1,668;2,029;2,766;1,949;2,81;2,183;3,077;1,563;2,1756;;2011-01-09;1,33;1,846;1,413;1,596;1,666;1,737;1,741;1,677;2,535;1,366;1,6907;;;;;;;;;;;;;
2011-01-01 09:00:00;2,05;2,306;1,669;2,128;3,005;1,806;2,44;2,343;3,224;2,011;2,2982;;2011-01-10;1,317;1,994;1,358;1,686;1,767;1,413;2,132;1,584;2,165;1,531;1,6947;;;;;;;;;;;;;
2011-01-01 10:00:00;1,991;2,314;1,819;1,897;2,666;2,161;2,039;2,055;3,092;1,99;2,2024;;2011-01-11;1,603;1,817;1,42;1,809;3,245;1,902;2,08;1,683;1,932;1,69;1,9181;;;;;;;;;;;;;
2011-01-01 11:00:00;1,708;2,183;2,039;1,976;2,607;2,17;2,06;1,989;3,082;1,724;2,1538;;2011-01-12;1,386;2,114;1,291;1,787;2,448;1,423;1,35;1,518;1,886;1,452;1,6655;;;;;;;;;;;;;
2011-01-01 12:00:00;1,792;2,109;1,933;2,06;2,662;2,024;2,411;1,78;3,391;1,782;2,1944;;2011-01-13;1,27;1,741;1,392;1,528;2,365;1,582;1,458;1,704;1,757;1,424;1,6221;;;;;;;;;;;;;
2011-01-01 13:00:00;1,646;2,452;2,322;2,065;2,307;2,315;2,65;1,821;3,432;1,758;2,2768;;2011-01-14;1,208;1,791;0,773;1,591;1,275;1,629;1,161;1,418;1,628;1,297;1,3771;;;;;;;;;;;;;
2011-01-01 14:00:00;1,783;2,297;2,041;2,276;2,782;2,148;2,294;2,307;3,28;2,136;2,3344;;2011-01-15;1,208;1,596;1,222;1,465;1,402;1,535;1,344;1,218;1,678;1,289;1,3957;;;;;;;;;;;;;
2011-01-01 15:00:00;2,025;2,691;2,653;2,142;3,148;2,721;2,64;2,054;3,367;2,025;2,5466;;2011-01-16;1,207;1,954;1,022;1,445;1,4;1,657;1,902;1,139;1,723;1,32;1,4769;;;;;;;;;;;;;
2011-01-01 16:00:00;2,286;2,778;2,721;2,17;3,044;2,595;2,869;2,427;3,587;2,531;2,7008;;2011-01-17;1,053;1,482;1,297;1,296;1,181;1,241;1,693;1,334;1,653;1,316;1,3546;;;;;;;;;;;;;
2011-01-01 17:00:00;2,404;2,656;2,661;2,419;3,149;2,832;3,296;2,534;3,445;2,714;2,811;;2011-01-18;1,112;1,584;1,182;1,42;1,592;1,382;1,412;1,501;1,644;1,527;1,4356;;;;;;;;;;;;;
2011-01-01 18:00:00;2,184;2,632;2,089;2,181;2,869;2,645;2,766;2,531;3,419;2,581;2,5897;;2011-01-19;1,233;1,76;1,162;1,605;2,282;1,487;1,406;1,332;1,514;1,382;1,5163;;;;;;;;;;;;;
2011-01-01 19:00:00;2,071;2,624;2,027;2,175;2,698;2,211;2,645;2,048;3,318;2,396;2,4213;;2011-01-20;1,347;1,953;1,129;1,942;2,243;1,583;1,451;1,749;1,735;1,459;1,6591;;;;;;;;;;;;;
2011-01-01 20:00:00;1,818;2,714;1,591;1,99;2,565;2,438;2,591;1,893;3,249;1,901;2,275;;2011-01-21;1,456;2,235;1,834;1,722;1,488;1,688;1,63;1,622;1,862;1,495;1,7032;;;;;;;;;;;;;
2011-01-01 21:00:00;1,694;2,443;1,655;2,013;2,891;2,184;2,268;1,838;3,312;2,04;2,2338;;2011-01-22;1,687;1,727;1,261;1,88;1,356;1,626;1,846;1,686;1,76;1,543;1,6372;;;;;;;;;;;;;
2011-01-01 22:00:00;1,683;2,113;1,475;1,91;2,497;2,107;2,114;1,813;3,191;1,735;2,0638;;2011-01-23;1,28;1,867;1,275;1,652;1,207;1,656;1,796;1,648;1,785;1,281;1,5447;;;;;;;;;;;;;
2011-01-01 23:00:00;1,418;2,24;1,581;1,857;2,209;1,841;1,803;1,755;2,974;1,742;1,942;;2011-01-24;1,323;1,812;1,39;1,704;1,431;1,843;1,885;1,86;1,806;1,241;1,6295;;;;;;;;;;;;;
2011-01-02 00:00:00;1,498;2,14;1,591;1,755;2,429;1,518;1,886;1,67;3,182;1,47;1,9139;;2011-01-25;1,158;1,216;1,34;1,507;1,18;1,522;1,707;1,358;1,718;1,269;1,3975;;;;;;;;;;;;;
2011-01-02 01:00:00;1,584;2,144;1,508;1,79;2,234;1,707;1,784;1,783;3,047;1,662;1,9243;;2011-01-26;1,255;2,094;1,372;1,768;1,652;1,48;1,657;1,71;1,819;1,44;1,6247;;;;;;;;;;;;;
2011-01-02 02:00:00;1,521;2,087;1,587;1,909;2,411;1,485;2,194;1,986;2,96;1,622;1,9762;;2011-01-27;1,466;2,291;1,576;1,92;2,028;1,867;1,819;2,056;2,595;1,831;1,9449;;;;;;;;;;;;;
2011-01-02 03:00:00;1,418;2,073;1,721;1,908;2,426;1,863;1,603;2,049;2,744;1,633;1,9438;;2011-01-28;1,645;2,402;1,686;1,889;1,793;1,863;1,723;1,665;2,614;1,665;1,8945;;;;;;;;;;;;;
2011-01-02 04:00:00;1,421;2,057;1,624;1,864;2,496;1,685;1,932;2,053;2,731;1,605;1,9468;;2011-01-29;1,545;1,967;1,811;1,812;1,816;2,127;1,696;2,109;2,089;1,863;1,8835;;;;;;;;;;;;;
2011-01-02 05:00:00;1,492;2,209;1,854;1,904;3,1;1,842;1,814;2,004;2,993;1,646;2,0858;;2011-01-30;1,48;2,088;1,311;1,759;1,469;1,542;1,736;1,457;1,896;1,691;1,6429;;;;;;;;;;;;;
2011-01-02 06:00:00;1,46;2,357;1,842;2,056;2,553;1,719;2,207;2,037;2,991;1,6;2,0822;;2011-01-31;1,499;2,142;1,228;1,774;1,644;1,881;1,814;1,509;1,809;1,7;1,7;;;;;;;;;;;;;
2011-01-02 07:00:00;1,834;2,65;1,84;2,024;2,88;2,026;3,209;2,391;3,148;1,969;2,3971;;2011-02-01;1,313;1,836;1,584;1,468;1,429;1,317;1,265;1,501;2,283;1,498;1,5494;;;;;;;;;;;;;
2011-01-02 08:00:00;2,119;2,622;2,368;2,311;2,89;2,046;2,076;2,462;3,174;1,813;2,3881;;2011-02-02;1,404;1,698;1,367;1,426;1,373;1,535;1,186;1,443;2,361;1,548;1,5341;;;;;;;;;;;;;
2011-01-02 09:00:00;2,058;2,67;2,033;2,277;3,001;2,256;2,625;2,385;3,338;2,231;2,4874;;2011-02-03;1,232;1,754;1,388;1,308;1,622;1,582;1,467;1,588;1,86;1,391;1,5192;;;;;;;;;;;;;
2011-01-02 10:00:00;1,781;2,612;2,096;2,097;3,059;2,101;2,496;2,549;3,191;2,361;2,4343;;2011-02-04;1,204;1,471;1,253;1,415;1,576;1,517;1,486;1,63;1,734;1,388;1,4674;;;;;;;;;;;;;
